code,hex,lab_l,lab_a,lab_b
"PANTONE 681 C",#AC6D95,54,31,-11
"PANTONE 682 C",#964976,42,38,-11
"PANTONE 683 C",#7C2A56,31,40,-8
"PANTONE 684 C",#E3C7D5,83,12,-3
"PANTONE 685 C",#DDB6CB,78,17,-5
"PANTONE 686 C",#CDA1B9,71,20,-6
"PANTONE 687 C",#BB86A5,62,25,-8
"PANTONE 688 C",#A6658B,51,32,-10
"PANTONE 689 C",#873D68,37,37,-10
"PANTONE 690 C",#612243,24,32,-6
"PANTONE 691 C",#E7CED1,85,9,2
"PANTONE 692 C",#E2BDC3,80,14,2
"PANTONE 693 C",#D6A3AC,72,20,3
"PANTONE 694 C",#C48590,62,26,4
"PANTONE 695 C",#B56C7B,54,31,4
"PANTONE 696 C",#9A4A59,42,35,7
"PANTONE 697 C",#893C46,36,34,10
"PANTONE 698 C",#F4D6D9,88,11,2
"PANTONE 699 C",#F3C2CD,83,19,1
"PANTONE 700 C",#F1ACB8,77,27,4
"PANTONE 701 C",#E7879A,67,39,6
"PANTONE 702 C",#D25E75,55,48,10
"PANTONE 703 C",#B83B4B,44,51,19
"PANTONE 704 C",#A02D30,37,47,26
"PANTONE 705 C",#F5DDE1,90,9,1
"PANTONE 706 C",#F4CDD6,86,15,1
"PANTONE 707 C",#F6B5C5,80,26,1
"PANTONE 708 C",#F992A7,72,41,6
"PANTONE 709 C",#F2637C,61,57,15
"PANTONE 710 C",#E44254,53,63,27
"PANTONE 711 C",#CE2E2F,46,61,39
"PANTONE 712 C",#FFC99E,85,14,29
"PANTONE 713 C",#FFBD89,82,19,36
"PANTONE 714 C",#FFAB64,77,25,49
"PANTONE 715 C",#FB8C31,69,36,63
"PANTONE 716 C",#EF7709,63,41,69
"PANTONE 717 C",#DA5E06,55,45,63
"PANTONE 718 C",#C14E00,48,43,58
"PANTONE 719 C",#F1C7A4,83,10,23
"PANTONE 720 C",#EAB78C,78,13,29
"PANTONE 721 C",#E2A46F,72,17,36
"PANTONE 722 C",#CB8343,61,22,45
"PANTONE 723 C",#B66927,52,26,48
"PANTONE 724 C",#964D12,41,27,45
"PANTONE 725 C",#81411A,35,25,35
"PANTONE 726 C",#E3C0A2,80,8,20
"PANTONE 727 C",#DBB490,76,9,24
"PANTONE 728 C",#D1A279,70,12,28
"PANTONE 729 C",#B78050,58,16,34
"PANTONE 730 C",#A0642D,48,19,40
"PANTONE 731 C",#7A4113,34,21,37
"PANTONE 732 C",#623411,27,18,30
"PANTONE 7401 C",#FAE4A8,91,-1,32
"PANTONE 7402 C",#F0D89B,87,0,33
"PANTONE 7403 C",#F4D487,86,1,42
"PANTONE 7404 C",#FEDB44,88,-3,74
"PANTONE 7405 C",#FBCD19,84,2,82
"PANTONE 7406 C",#F8C210,81,6,81
"PANTONE 7407 C",#CEA154,69,8,46
"PANTONE 7408 C",#FCBC0C,80,11,81
"PANTONE 7409 C",#F6B228,77,14,73
"PANTONE 7410 C",#FFAE78,78,25,40
"PANTONE 7411 C",#EDA85F,74,18,47
"PANTONE 7412 C",#D78135,62,27,53
"PANTONE 7413 C",#E08534,64,29,56
"PANTONE 7414 C",#C66D1C,55,30,56
"PANTONE 7415 C",#E7BAAA,79,14,14
"PANTONE 7416 C",#E86A54,60,47,36
"PANTONE 7417 C",#E24F38,54,56,44
"PANTONE 7418 C",#CD555B,52,48,21
"PANTONE 7419 C",#B24B5B,46,43,12
"PANTONE 7420 C",#9E2442,36,51,13
"PANTONE 7421 C",#671F33,24,34,5
"PANTONE 7422 C",#F5CDD4,86,15,2
"PANTONE 7423 C",#E16487,59,52,5
"PANTONE 7424 C",#E34986,55,64,0
"PANTONE 7425 C",#B52755,41,58,9
"PANTONE 7426 C",#A5183E,36,56,16
"PANTONE 7427 C",#9A1F2F,34,50,23
"PANTONE 7428 C",#6C2D40,28,30,2
"PANTONE 7429 C",#E2BCCC,80,16,-3
"PANTONE 7430 C",#DBA8BE,74,22,-4
"PANTONE 7431 C",#C881A0,62,32,-5
"PANTONE 7432 C",#B55E7E,51,39,-2
"PANTONE 7433 C",#A73D65,42,47,0
"PANTONE 7434 C",#9A3558,38,45,2
"PANTONE 7435 C",#892A54,33,44,-3
"PANTONE 7436 C",#EBDBE9,89,8,-5
"PANTONE 7437 C",#CAB0D1,75,15,-13
"PANTONE 7438 C",#D0A0D7,72,27,-21
"PANTONE 7439 C",#AD89B8,62,22,-19
"PANTONE 7440 C",#9F79A7,56,23,-19
"PANTONE 7441 C",#955FBF,50,40,-42
"PANTONE 7442 C",#8B43BD,43,52,-52
"PANTONE 7443 C",#DADCEA,88,2,-7
"PANTONE 7444 C",#B3BADE,76,5,-19
"PANTONE 7445 C",#A3A3C4,68,7,-17
"PANTONE 7446 C",#7F87C9,58,13,-35
"PANTONE 7447 C",#564878,34,17,-25
"PANTONE 7448 C",#48384B,26,11,-9
"PANTONE 7449 C",#41293C,20,15,-8
"PANTONE 7450 C",#B8C4DA,79,0,-12
"PANTONE 7451 C",#7AACE4,69,-2,-33
"PANTONE 7452 C",#6F96DC,62,6,-40
"PANTONE 7453 C",#6CA8E0,67,-4,-34
"PANTONE 7454 C",#5090B4,57,-10,-25
"PANTONE 7455 C",#005FAF,40,8,-49
"PANTONE 7456 C",#5071B4,48,8,-39
"PANTONE 7457 C",#B6DEE8,86,-11,-9
"PANTONE 7458 C",#68B3CA,69,-17,-19
"PANTONE 7459 C",#2897B3,58,-21,-23
"PANTONE 7460 C",#0087BE,52,-16,-39
"PANTONE 7461 C",#007EBA,49,-13,-41
"PANTONE 7462 C",#00568C,34,-5,-38
"PANTONE 7463 C",#002B4A,16,-4,-24
"PANTONE 7464 C",#9DD0C9,80,-18,-2
"PANTONE 7465 C",#3BC1AE,71,-40,-1
"PANTONE 7466 C",#00B0B9,65,-37,-16
"PANTONE 7467 C",#00A4AE,61,-34,-16
"PANTONE 7468 C",#00759A,45,-18,-29
"PANTONE 7469 C",#005F85,37,-13,-29
"PANTONE 7470 C",#005C72,35,-18,-20
"PANTONE 7471 C",#76DDD4,82,-32,-5
"PANTONE 7472 C",#56B8B2,69,-30,-6
"PANTONE 7473 C",#16998B,57,-36,-2
"PANTONE 7474 C",#007781,45,-26,-14
"PANTONE 7475 C",#427B7D,48,-18,-7
"PANTONE 7476 C",#005258,31,-20,-10
"PANTONE 7477 C",#1A4D5A,30,-12,-13
"PANTONE 7478 C",#9DE3C0,85,-29,10
"PANTONE 7479 C",#31CF7E,74,-58,29
"PANTONE 7480 C",#20BD71,68,-56,28
"PANTONE 7481 C",#21B554,65,-58,39
"PANTONE 7482 C",#1A9D50,57,-51,31
"PANTONE 7483 C",#295C39,35,-26,15
"PANTONE 7484 C",#00573E,32,-30,8
"PANTONE 7485 C",#D2DFBD,87,-10,15
"PANTONE 7486 C",#C0E297,86,-24,33
"PANTONE 7487 C",#97DB69,81,-41,49
"PANTONE 7488 C",#85D551,78,-47,56
"PANTONE 7489 C",#7AA851,64,-31,40
"PANTONE 7490 C",#75994C,59,-26,36
"PANTONE 7491 C",#808641,54,-13,36
"PANTONE 7492 C",#C5CC82,80,-14,36
"PANTONE 7493 C",#BEC694,78,-11,24
"PANTONE 7494 C",#9EAE89,69,-12,17
"PANTONE 7495 C",#949840,61,-14,45
"PANTONE 7496 C",#7E8722,54,-17,50
"PANTONE 7497 C",#7A7259,48,-1,15
"PANTONE 7498 C",#5D6238,40,-9,23
"PANTONE 7499 C",#F3E5B2,91,-3,27
"PANTONE 7500 C",#E2D0A8,84,0,22
"PANTONE 7501 C",#DBC79E,81,1,23
"PANTONE 7502 C",#D2B88C,76,3,26
"PANTONE 7503 C",#AB9A69,64,-1,28
"PANTONE 7504 C",#96795E,53,7,19
"PANTONE 7505 C",#856042,44,11,23
"PANTONE 7506 C",#F1DAB3,88,2,22
"PANTONE 7507 C",#FFD19C,87,10,33
"PANTONE 7508 C",#E6B982,78,9,34
"PANTONE 7509 C",#DAA363,71,13,41
"PANTONE 7510 C",#C9883F,62,18,48
"PANTONE 7511 C",#BB772A,56,20,51
"PANTONE 7512 C",#A9641D,49,23,49
"PANTONE 7513 C",#E4B7A9,78,14,13
"PANTONE 7514 C",#D7A287,71,16,22
"PANTONE 7515 C",#C78B69,63,19,27
"PANTONE 7516 C",#9C552C,44,26,36
"PANTONE 7517 C",#894420,37,27,34
"PANTONE 7518 C",#6F5048,37,12,10
"PANTONE 7519 C",#604C3F,34,6,11
"PANTONE 7520 C",#ECBFB2,81,14,13
"PANTONE 7521 C",#C29B83,67,11,18
"PANTONE 7522 C",#B66A55,53,28,25
"PANTONE 7523 C",#AE5E59,49,32,17
"PANTONE 7524 C",#A8554A,46,33,22
"PANTONE 7525 C",#9B694E,49,17,23
"PANTONE 7526 C",#8C381B,35,34,35
"PANTONE 7527 C",#D5D2C4,84,-1,7
"PANTONE 7528 C",#C5BAAF,76,2,7
"PANTONE 7529 C",#B5A99D,70,2,8
"PANTONE 7530 C",#A39383,62,3,11
"PANTONE 7531 C",#796855,45,4,13
"PANTONE 7532 C",#645140,36,5,13
"PANTONE 7533 C",#493829,25,5,12
"PANTONE 7534 C",#D0CCBF,82,-1,7
"PANTONE 7535 C",#B7B09D,72,-1,11
"PANTONE 7536 C",#A7A08B,66,-1,12
"PANTONE 7537 C",#A9ACA4,70,-3,4
"PANTONE 7538 C",#939B8F,63,-5,5
"PANTONE 7539 C",#8F918B,60,-2,3
"PANTONE 7540 C",#494E54,33,-1,-4
"PANTONE 7541 C",#D7E1E3,89,-3,-2
"PANTONE 7542 C",#A2BEC3,75,-8,-6
"PANTONE 7543 C",#97A5AF,67,-3,-7
"PANTONE 7544 C",#728695,55,-4,-10
"PANTONE 7545 C",#3D5665,35,-5,-12
"PANTONE 7546 C",#1E3846,22,-5,-12
"PANTONE 7547 C",#0E1F2B,11,-3,-10
"PANTONE 7548 C",#FFC511,83,10,83
"PANTONE 7549 C",#FFB409,79,19,81
"PANTONE 7550 C",#D68F07,65,18,69
"PANTONE 7551 C",#B87D06,57,15,62
"PANTONE 7552 C",#76531F,38,9,35
"PANTONE 7553 C",#5B4523,31,5,24
"PANTONE 7554 C",#4D3D2B,27,4,14
"PANTONE 7555 C",#D89F1D,69,11,68
"PANTONE 7556 C",#BD8B24,61,10,58
"PANTONE 7557 C",#A27B25,54,7,50
"PANTONE 7558 C",#997027,50,9,45
"PANTONE 7559 C",#936A2C,48,10,40
"PANTONE 7560 C",#806430,44,5,33
"PANTONE 7561 C",#705F37,41,1,25
"PANTONE 7562 C",#C09A62,66,7,35
"PANTONE 7563 C",#DB9931,68,16,61
"PANTONE 7564 C",#E1890C,65,26,69
"PANTONE 7565 C",#D17827,59,29,56
"PANTONE 7566 C",#B06335,50,27,39
"PANTONE 7567 C",#8A5430,41,19,30
"PANTONE 7568 C",#795035,38,14,23
"PANTONE 7569 C",#DD872A,64,26,60
"PANTONE 7570 C",#D9842F,63,26,57
"PANTONE 7571 C",#CC7E34,60,24,51
"PANTONE 7572 C",#BA7335,55,23,45
"PANTONE 7573 C",#AB662D,50,23,43
"PANTONE 7574 C",#A06837,49,18,36
"PANTONE 7575 C",#865D32,43,12,31
"PANTONE 7576 C",#E08852,65,29,43
"PANTONE 7577 C",#E47D3D,63,35,51
"PANTONE 7578 C",#E16C32,59,42,52
"PANTONE 7579 C",#DF5929,55,50,52
"PANTONE 7580 C",#C25230,49,43,41
"PANTONE 7581 C",#894B34,39,24,25
"PANTONE 7582 C",#684939,34,11,15
"PANTONE 7583 C",#C7622D,53,37,47
"PANTONE 7584 C",#BE5A28,50,37,46
"PANTONE 7585 C",#B25D37,49,31,37
"PANTONE 7586 C",#A05330,44,29,34
"PANTONE 7587 C",#954C2F,41,28,31
"PANTONE 7588 C",#7D4E35,38,17,23
"PANTONE 7589 C",#5C4739,32,7,12
"PANTONE 7590 C",#D5B59E,76,8,16
"PANTONE 7591 C",#C37D59,59,23,31
"PANTONE 7592 C",#B55633,48,36,38
"PANTONE 7593 C",#9E412C,40,37,32
"PANTONE 7594 C",#803C2E,34,28,22
"PANTONE 7595 C",#6B3D2F,31,19,17
"PANTONE 7596 C",#5D3C31,29,13,13
"PANTONE 7597 C",#D64325,50,56,49
"PANTONE 7598 C",#C0482A,47,47,42
"PANTONE 7599 C",#B43D25,43,47,40
"PANTONE 7600 C",#8F3E2C,37,33,28
"PANTONE 7601 C",#85422C,36,27,26
"PANTONE 7602 C",#7D4A33,37,19,23
"PANTONE 7603 C",#694231,32,15,17
"PANTONE 7604 C",#E5D7D6,87,5,2
"PANTONE 7605 C",#E2BBB3,79,13,9
"PANTONE 7606 C",#D8958C,68,24,15
"PANTONE 7607 C",#C56E62,56,33,22
"PANTONE 7608 C",#A5493D,43,37,26
"PANTONE 7609 C",#843D34,35,30,20
"PANTONE 7610 C",#6A3533,29,23,12
"PANTONE 7611 C",#DFBCB2,79,11,10
"PANTONE 7612 C",#CC9A8F,68,17,13
"PANTONE 7613 C",#BD8A7E,62,18,14
"PANTONE 7614 C",#A78076,57,14,11
"PANTONE 7615 C",#886864,47,12,7
"PANTONE 7616 C",#6A4E4D,36,12,5
"PANTONE 7617 C",#583D3F,29,12,4
"PANTONE 7618 C",#C86E4F,56,33,33
"PANTONE 7619 C",#C04D36,48,45,37
"PANTONE 7620 C",#BA342D,43,53,36
"PANTONE 7621 C",#AF262A,39,54,33
"PANTONE 7622 C",#94282D,34,45,24
"PANTONE 7623 C",#8C2B2C,33,41,23
"PANTONE 7624 C",#82302E,32,35,20
"PANTONE 7625 C",#E3533E,55,55,42
"PANTONE 7626 C",#CA3626,46,57,44
"PANTONE 7627 C",#AA2E2B,39,50,32
"PANTONE 7628 C",#A02D2B,37,47,29
"PANTONE 7629 C",#703535,30,26,12
"PANTONE 7630 C",#633130,27,22,11
"PANTONE 7631 C",#582C2E,24,20,8
"PANTONE 7632 C",#D6C9CC,82,5,0
"PANTONE 7633 C",#C2A4A8,70,12,2
"PANTONE 7634 C",#C06983,55,38,1
"PANTONE 7635 C",#C73A63,47,58,9
"PANTONE 7636 C",#BD224B,42,61,17
"PANTONE 7637 C",#943248,36,43,9
"PANTONE 7638 C",#7D2E40,31,36,7
"PANTONE 7639 C",#936D74,50,16,2
"PANTONE 7640 C",#944155,39,37,5
"PANTONE 7641 C",#8D2D48,34,43,6
"PANTONE 7642 C",#732F4B,30,33,-2
"PANTONE 7643 C",#673046,28,27,-2
"PANTONE 7644 C",#582E42,25,22,-4
"PANTONE 7645 C",#502C3A,23,19,-2
"PANTONE 7646 C",#A37088,53,24,-5
"PANTONE 7647 C",#A83F71,43,48,-6
"PANTONE 7648 C",#992466,36,53,-10
"PANTONE 7649 C",#891E61,32,50,-13
"PANTONE 7650 C",#712358,28,40,-14
"PANTONE 7651 C",#672C5B,28,33,-16
"PANTONE 7652 C",#5B2951,25,29,-14
"PANTONE 7653 C",#938896,58,7,-6
"PANTONE 7654 C",#9D789C,55,21,-14
"PANTONE 7655 C",#9D5C93,48,35,-19
"PANTONE 7656 C",#8A3C7E,38,42,-22
"PANTONE 7657 C",#6B2D61,29,35,-18
"PANTONE 7658 C",#693764,31,29,-17
"PANTONE 7659 C",#5D3854,29,21,-10
"PANTONE 7660 C",#9794A6,62,5,-9
"PANTONE 7661 C",#8B7097,51,18,-17
"PANTONE 7662 C",#754481,37,32,-26
"PANTONE 7663 C",#66347A,31,35,-31
"PANTONE 7664 C",#60377A,31,31,-31
"PANTONE 7665 C",#5C386F,30,27,-26
"PANTONE 7666 C",#594E62,35,9,-10
"PANTONE 7667 C",#647EA1,52,0,-22
"PANTONE 7668 C",#5D71A3,48,6,-29
"PANTONE 7669 C",#58629C,43,12,-33
"PANTONE 7670 C",#4A5594,38,14,-36
"PANTONE 7671 C",#454A8B,34,17,-37
"PANTONE 7672 C",#424283,31,19,-37
"PANTONE 7673 C",#485586,37,9,-29
"PANTONE 7674 C",#7F8DB4,59,4,-22
"PANTONE 7675 C",#7782AD,55,6,-24
"PANTONE 7676 C",#6C669F,46,16,-30
"PANTONE 7677 C",#685393,40,23,-32
"PANTONE 7678 C",#5E498D,36,25,-35
"PANTONE 7679 C",#4C3F82,31,23,-36
"PANTONE 7680 C",#493377,27,27,-36
"PANTONE 7681 C",#88A9CB,68,-3,-21
"PANTONE 7682 C",#5987B7,55,-2,-30
"PANTONE 7683 C",#276EAA,45,-1,-38
"PANTONE 7684 C",#125F9B,39,1,-39
"PANTONE 7685 C",#005798,36,3,-42
"PANTONE 7686 C",#005190,33,1,-42
"PANTONE 7687 C",#00458E,29,9,-47
"PANTONE 7688 C",#1B98C9,59,-15,-34
"PANTONE 7689 C",#0092C2,56,-17,-35
"PANTONE 7690 C",#0077A9,46,-14,-36
"PANTONE 7691 C",#006398,39,-9,-37
"PANTONE 7692 C",#005787,34,-8,-35
"PANTONE 7693 C",#004A77,29,-6,-33
"PANTONE 7694 C",#004369,26,-6,-29
"PANTONE 7695 C",#74A8BC,66,-12,-16
"PANTONE 7696 C",#5C99AE,60,-14,-17
"PANTONE 7697 C",#4387A0,53,-14,-20
"PANTONE 7698 C",#36748E,46,-12,-20
"PANTONE 7699 C",#236883,41,-12,-21
"PANTONE 7700 C",#005C7C,36,-13,-25
"PANTONE 7701 C",#005877,34,-14,-25
"PANTONE 7702 C",#30A8C5,64,-23,-24
"PANTONE 7703 C",#009DBC,59,-27,-27
"PANTONE 7704 C",#0086AC,51,-21,-30
"PANTONE 7705 C",#007095,43,-17,-29
"PANTONE 7706 C",#006A90,41,-16,-29
"PANTONE 7707 C",#00637E,38,-17,-23
"PANTONE 7708 C",#00566E,33,-16,-21
"PANTONE 7709 C",#5AB3BC,68,-24,-13
"PANTONE 7710 C",#00A7B6,62,-34,-19
"PANTONE 7711 C",#0098A9,57,-30,-19
"PANTONE 7712 C",#00849C,50,-25,-22
"PANTONE 7713 C",#007F8C,48,-27,-16
"PANTONE 7714 C",#007781,45,-26,-14
"PANTONE 7715 C",#00646C,38,-24,-12
"PANTONE 7716 C",#009790,56,-37,-6
"PANTONE 7717 C",#00867E,50,-34,-5
"PANTONE 7718 C",#007875,45,-30,-7
"PANTONE 7719 C",#006D6A,41,-29,-6
"PANTONE 7720 C",#00635B,37,-28,-3
"PANTONE 7721 C",#005D5E,35,-24,-8
"PANTONE 7722 C",#005352,31,-23,-6
"PANTONE 7723 C",#51A587,62,-33,8
"PANTONE 7724 C",#00966E,55,-44,12
"PANTONE 7725 C",#068554,49,-43,18
"PANTONE 7726 C",#0A7A4D,45,-40,17
"PANTONE 7727 C",#086F47,41,-37,15
"PANTONE 7728 C",#006745,38,-35,12
"PANTONE 7729 C",#005945,33,-29,5
"PANTONE 7730 C",#4E9562,56,-34,20
"PANTONE 7731 C",#2C874A,50,-41,25
"PANTONE 7732 C",#0E7B42,45,-42,23
"PANTONE 7733 C",#0B6F42,41,-38,18
"PANTONE 7734 C",#286243,37,-27,12
"PANTONE 7735 C",#38573C,34,-18,12
"PANTONE 7736 C",#375442,33,-15,7
"PANTONE 7737 C",#72A43D,62,-34,47
"PANTONE 7738 C",#53A244,60,-43,41
"PANTONE 7739 C",#3C9B46,57,-46,36
"PANTONE 7740 C",#428F41,53,-40,34
"PANTONE 7741 C",#488842,51,-35,31
"PANTONE 7742 C",#4E7740,46,-26,26
"PANTONE 7743 C",#48693F,41,-21,20
"PANTONE 7744 C",#C0BB1E,74,-14,71
"PANTONE 7745 C",#B3AC29,69,-12,63
"PANTONE 7746 C",#9E9933,62,-11,52
"PANTONE 7747 C",#8D8D34,57,-12,46
"PANTONE 7748 C",#807F36,52,-10,39
"PANTONE 7749 C",#757138,47,-7,32
"PANTONE 7750 C",#666538,42,-7,26
"PANTONE 7751 C",#D0B44D,74,-2,55
"PANTONE 7752 C",#D5B029,73,1,68
"PANTONE 7753 C",#C59E22,67,3,64
"PANTONE 7754 C",#A4852C,57,2,50
"PANTONE 7755 C",#8B7530,50,0,40
"PANTONE 7756 C",#736535,43,-1,29
"PANTONE 7757 C",#6A5E35,40,-1,25
"PANTONE 7758 C",#DBC114,78,-6,77
"PANTONE 7759 C",#CBB00B,72,-4,73
"PANTONE 7760 C",#96832D,55,-3,47
"PANTONE 7761 C",#78713A,47,-5,31
"PANTONE 7762 C",#5F643A,41,-9,23
"PANTONE 7763 C",#5B5B3C,38,-6,18
"PANTONE 7764 C",#555435,35,-5,18
"PANTONE 7765 C",#C3B22A,72,-8,66
"PANTONE 7766 C",#BCA924,69,-7,65
"PANTONE 7767 C",#B09B2F,64,-4,56
"PANTONE 7768 C",#937D36,53,0,41
"PANTONE 7769 C",#736136,42,1,27
"PANTONE 7770 C",#655839,38,0,20
"PANTONE 7771 C",#4F4935,31,-1,13
"PANTONE 8001 C",#8B8B8B,58,0,0
"PANTONE 8002 C",#8B827B,55,2,5
"PANTONE 8003 C",#8B7F75,54,3,7
"PANTONE 8004 C",#897A68,52,3,12
"PANTONE 8005 C",#89735E,50,5,15
"PANTONE 8006 C",#897056,49,6,18
"PANTONE 801 C",#009CCC,59,-22,-36
"PANTONE 802 C",#58D535,76,-62,64
"PANTONE 8020 C",#9B887A,58,5,10
"PANTONE 8021 C",#A28273,57,10,13
"PANTONE 8022 C",#AB7559,54,18,24
"PANTONE 8023 C",#AD6443,50,26,31
"PANTONE 8024 C",#AF5B2F,48,31,40
"PANTONE 8025 C",#A95124,45,33,42
"PANTONE 803 C",#FFE817,92,-6,89
"PANTONE 804 C",#FFAA51,77,26,58
"PANTONE 8040 C",#94908D,60,1,2
"PANTONE 8041 C",#9C847D,57,8,7
"PANTONE 8042 C",#9F7C71,55,12,11
"PANTONE 8043 C",#A56F62,52,20,16
"PANTONE 8044 C",#A75F49,48,27,25
"PANTONE 8045 C",#A3593F,46,28,28
"PANTONE 805 C",#FF7477,66,54,25
"PANTONE 806 C",#FC44B4,60,77,-19
"PANTONE 8060 C",#978791,58,8,-3
"PANTONE 8061 C",#9C7B84,55,14,0
"PANTONE 8062 C",#9F6F7B,52,21,1
"PANTONE 8063 C",#A5616D,49,29,5
"PANTONE 8064 C",#A05C63,47,29,8
"PANTONE 8065 C",#9E5656,45,30,13
"PANTONE 807 C",#E631C0,55,79,-34
"PANTONE 808 C",#00B698,66,-47,4
"PANTONE 8080 C",#938896,58,7,-6
"PANTONE 8081 C",#997390,53,20,-10
"PANTONE 8082 C",#9A6389,49,28,-12
"PANTONE 8083 C",#9D5084,45,39,-15
"PANTONE 8084 C",#A43D75,42,48,-10
"PANTONE 8085 C",#A23064,39,51,-4
"PANTONE 809 C",#ECE532,89,-16,80
"PANTONE 810 C",#FFD43A,87,4,77
"PANTONE 8100 C",#907D97,55,12,-11
"PANTONE 8101 C",#906E93,51,20,-15
"PANTONE 8102 C",#906292,48,27,-19
"PANTONE 8103 C",#8D4F8E,43,36,-24
"PANTONE 8104 C",#923A7C,39,45,-19
"PANTONE 8105 C",#8F306B,36,46,-13
"PANTONE 811 C",#FF8F6D,71,40,37
"PANTONE 812 C",#FF63A3,64,65,-3
"PANTONE 8120 C",#8E8999,58,5,-8
"PANTONE 8121 C",#8C7F98,55,10,-12
"PANTONE 8122 C",#866E94,50,17,-17
"PANTONE 8123 C",#845B93,45,27,-24
"PANTONE 8124 C",#894F85,42,33,-20
"PANTONE 8125 C",#844776,39,33,-16
"PANTONE 813 C",#F84DC3,61,75,-26
"PANTONE 814 C",#7C6DD6,52,31,-52
"PANTONE 8140 C",#847D97,54,8,-13
"PANTONE 8141 C",#7B7295,50,11,-18
"PANTONE 8142 C",#746199,45,20,-28
"PANTONE 8143 C",#6B5196,40,26,-34
"PANTONE 8144 C",#6F5081,39,23,-23
"PANTONE 8145 C",#6B4877,36,24,-21
"PANTONE 8160 C",#888B99,58,2,-8
"PANTONE 8161 C",#7A8099,54,3,-14
"PANTONE 8162 C",#5F649A,44,12,-30
"PANTONE 8163 C",#53589D,40,17,-38
"PANTONE 8164 C",#4F4D92,36,20,-38
"PANTONE 8165 C",#4B4588,33,21,-37
"PANTONE 8180 C",#82909A,59,-3,-7
"PANTONE 8181 C",#61829F,53,-4,-19
"PANTONE 8182 C",#44739E,47,-3,-28
"PANTONE 8183 C",#1D64A1,41,1,-39
"PANTONE 8184 C",#005B94,37,-2,-38
"PANTONE 8185 C",#004E82,32,0,-35
"PANTONE 8200 C",#73909C,58,-7,-10
"PANTONE 8201 C",#62899B,55,-9,-14
"PANTONE 8202 C",#48839F,52,-11,-21
"PANTONE 8203 C",#027BA2,48,-14,-29
"PANTONE 8204 C",#2C758C,46,-15,-19
"PANTONE 8205 C",#296E81,43,-15,-17
"PANTONE 8220 C",#6E8E9A,57,-8,-10
"PANTONE 8221 C",#5B8A9D,55,-11,-15
"PANTONE 8222 C",#3B88A0,53,-16,-20
"PANTONE 8223 C",#0082A1,50,-20,-25
"PANTONE 8224 C",#00768E,45,-23,-22
"PANTONE 8225 C",#006C7D,41,-22,-18
"PANTONE 8240 C",#839497,60,-5,-4
"PANTONE 8241 C",#608E97,56,-13,-10
"PANTONE 8242 C",#488D9B,55,-18,-14
"PANTONE 8243 C",#0E889C,52,-23,-19
"PANTONE 8244 C",#317F85,49,-22,-10
"PANTONE 8245 C",#2E7A7A,47,-23,-7
"PANTONE 8260 C",#779094,58,-8,-5
"PANTONE 8261 C",#648D92,56,-13,-7
"PANTONE 8262 C",#4A888C,53,-19,-8
"PANTONE 8263 C",#238385,50,-26,-9
"PANTONE 8264 C",#1F7976,46,-26,-6
"PANTONE 8265 C",#0B6D63,41,-28,-2
"PANTONE 8280 C",#7C9696,60,-9,-3
"PANTONE 8281 C",#6E9593,59,-14,-3
"PANTONE 8282 C",#589692,58,-21,-4
"PANTONE 8283 C",#38978D,57,-30,-3
"PANTONE 8284 C",#528F7E,55,-24,3
"PANTONE 8285 C",#4A8B72,53,-27,7
"PANTONE 8300 C",#82988E,61,-10,3
"PANTONE 8301 C",#749585,59,-15,5
"PANTONE 8302 C",#67957D,58,-21,8
"PANTONE 8303 C",#569671,57,-29,13
"PANTONE 8304 C",#628E69,55,-23,15
"PANTONE 8305 C",#5B835A,51,-23,18
"PANTONE 8320 C",#8B9690,61,-5,2
"PANTONE 8321 C",#839678,60,-13,14
"PANTONE 8322 C",#7D996D,60,-18,20
"PANTONE 8323 C",#71995D,59,-25,27
"PANTONE 8324 C",#7A9457,58,-20,29
"PANTONE 8325 C",#768B4B,55,-19,32
"PANTONE 8340 C",#91967E,61,-6,12
"PANTONE 8341 C",#8E9771,61,-10,19
"PANTONE 8342 C",#919B62,62,-13,29
"PANTONE 8343 C",#8B9A50,61,-17,37
"PANTONE 8344 C",#8B9439,59,-16,46
"PANTONE 8345 C",#8B8E28,57,-14,51
"PANTONE 8360 C",#96987B,62,-6,15
"PANTONE 8361 C",#9A9869,62,-7,25
"PANTONE 8362 C",#A19A59,63,-7,35
"PANTONE 8363 C",#AA9C44,64,-6,47
"PANTONE 8364 C",#A69343,61,-3,44
"PANTONE 8365 C",#A48C36,59,-1,48
"PANTONE 8380 C",#959487,61,-2,7
"PANTONE 8381 C",#979178,60,-2,14
"PANTONE 8382 C",#9F8F6A,60,0,22
"PANTONE 8383 C",#A78D5E,60,3,29
"PANTONE 8384 C",#AA8240,57,8,41
"PANTONE 8385 C",#A87C35,55,10,44
"PANTONE 8400 C",#868686,56,0,0
"PANTONE 8401 C",#7D7F7D,53,-1,1
"PANTONE 8402 C",#6F6F6F,47,0,0
"PANTONE 8403 C",#5F5E5D,40,0,1
"PANTONE 8404 C",#544F4B,34,1,3
"PANTONE 8405 C",#4C4541,30,2,4
"PANTONE 8420 C",#8F8D90,59,1,-1
"PANTONE 8421 C",#828183,54,1,-1
"PANTONE 8422 C",#747170,48,1,1
"PANTONE 8423 C",#65605F,41,2,1
"PANTONE 8424 C",#635451,37,6,4
